id_commande,date_achat,etat_client,categorie,categorie_en,nb_articles,prix_articles_brl,frais_port_brl,montant_total_brl,delai_livraison_j
40599d3d,2017-01-05,PR,pet_shop,pet_shop,1,11.9,8.72,20.62,11
743cc56c,2017-01-11,PR,eletroportateis,small_appliances,1,97.99,19.28,117.27,6
df6e0cd0,2017-01-16,MG,automotivo,auto,1,345.0,27.64,372.64,7
ecfdcaa1,2017-01-17,PB,moveis_decoracao,furniture_decor,1,59.9,24.62,84.52,9
4a571f5e,2017-01-19,MG,automotivo,auto,1,35.0,14.72,49.72,12
d62c1488,2017-01-19,PA,market_place,market_place,1,62.9,24.93,87.83,10
90bf0d00,2017-01-19,MG,moveis_decoracao,furniture_decor,1,49.0,16.05,65.05,7
b96f5299,2017-01-26,RJ,relogios_presentes,watches_gifts,1,1299.0,24.3,1323.3,60
67d0c933,2017-01-26,RJ,telefonia,telephony,2,26.0,29.04,55.04,10
47378b46,2017-01-27,SP,livros_interesse_geral,books_general_interest,1,124.99,19.15,144.14,10
749a31c1,2017-01-27,RS,beleza_saude,health_beauty,1,23.9,16.05,39.95,9
329465da,2017-01-27,RJ,moveis_escritorio,office_furniture,1,199.98,25.0,224.98,17
a6cd683d,2017-01-28,BA,beleza_saude,health_beauty,1,589.9,20.0,609.9,12
1a4bf675,2017-01-29,RJ,cama_mesa_banho,bed_bath_table,1,69.9,18.0,87.9,7
9846cae2,2017-01-30,SP,utilidades_domesticas,housewares,2,166.4,50.0,216.4,7
f6089c47,2017-01-31,MG,cama_mesa_banho,bed_bath_table,1,109.99,17.51,127.5,8
586992f5,2017-01-31,SP,relogios_presentes,watches_gifts,1,2999.0,17.01,3016.01,2
4d7b9370,2017-01-31,RJ,moveis_decoracao,furniture_decor,2,83.8,35.56,119.36,6
d5cf2633,2017-02-01,SP,moveis_decoracao,furniture_decor,1,176.99,49.89,226.88,6
b3c8c0dd,2017-02-01,SP,cama_mesa_banho,bed_bath_table,1,29.9,11.74,41.64,7
e77f09ad,2017-02-02,RS,cool_stuff,cool_stuff,1,399.0,55.8,454.8,32
b7ef1124,2017-02-02,SP,automotivo,auto,1,59.9,16.12,76.02,5
5d389775,2017-02-03,PR,esporte_lazer,sports_leisure,1,19.9,14.52,34.42,6
721e8baf,2017-02-03,MG,eletrodomesticos_2,home_appliances_2,1,15.99,14.12,30.11,5
09c10324,2017-02-03,SP,malas_acessorios,luggage_accessories,1,109.9,14.94,124.84,11
726714fe,2017-02-03,BA,cool_stuff,cool_stuff,1,25.0,20.8,45.8,6
d170580d,2017-02-05,RJ,telefonia,telephony,1,131.99,18.05,150.04,8
bb780b0e,2017-02-05,SP,instrumentos_musicais,musical_instruments,1,290.47,14.61,305.08,10
8ca35ef9,2017-02-05,SP,beleza_saude,health_beauty,1,49.9,12.93,62.83,10
dbb31ed9,2017-02-06,SP,beleza_saude,health_beauty,1,65.0,14.22,79.22,4
c9677a4b,2017-02-06,SC,eletroportateis,small_appliances,1,14.99,17.78,32.77,8
5d8e9c0a,2017-02-06,SP,esporte_lazer,sports_leisure,1,24.9,10.96,35.86,7
e3433a7c,2017-02-06,SP,moveis_decoracao,furniture_decor,1,69.9,17.23,87.13,5
4a484c46,2017-02-06,SP,esporte_lazer,sports_leisure,1,238.9,16.93,255.83,16
a8c012ba,2017-02-06,RJ,utilidades_domesticas,housewares,1,26.9,14.52,41.42,6
ee0accd3,2017-02-07,SP,moveis_decoracao,furniture_decor,1,99.0,33.73,132.73,6
6706f390,2017-02-07,RS,pet_shop,pet_shop,1,45.0,15.65,60.65,21
71d85c2d,2017-02-07,PB,fashion_bolsas_e_acessorios,fashion_bags_accessories,1,49.9,24.84,74.74,13
2deb1706,2017-02-07,MG,fashion_bolsas_e_acessorios,fashion_bags_accessories,1,24.9,10.96,35.86,6
a1284e7f,2017-02-08,SP,bebes,baby,1,40.0,10.96,50.96,1
e20d0dab,2017-02-08,RJ,automotivo,auto,1,139.0,23.96,162.96,11
49b40d05,2017-02-09,RJ,automotivo,auto,1,650.0,92.88,742.88,6
3237c01c,2017-02-10,SP,automotivo,auto,1,17.9,10.96,28.86,6
c1c7631c,2017-02-11,SP,esporte_lazer,sports_leisure,1,65.0,11.06,76.06,9
4ac0414d,2017-02-11,RJ,moveis_decoracao,furniture_decor,1,97.69,16.38,114.07,11
e73c4ecd,2017-02-12,MG,cama_mesa_banho,bed_bath_table,1,159.9,21.2,181.1,9
b6d3f75a,2017-02-12,ES,papelaria,stationery,1,94.9,14.83,109.73,8
dab4d0e2,2017-02-13,RN,brinquedos,toys,3,151.7,74.62,226.32,11
ae22ff58,2017-02-13,GO,fashion_calcados,fashion_shoes,2,69.8,41.6,111.4,9
44924b3c,2017-02-14,PI,pet_shop,pet_shop,1,679.99,41.72,721.71,23
ffa9f4ba,2017-02-14,SP,perfumaria,perfumery,1,9.9,10.96,20.86,9
ad4c4ee1,2017-02-14,RO,informatica_acessorios,computers_accessories,1,20.9,24.84,45.74,16
0b83b48c,2017-02-15,PE,beleza_saude,health_beauty,1,69.9,20.94,90.84,8
e70564a3,2017-02-15,SP,ferramentas_jardim,garden_tools,1,126.99,17.04,144.03,4
b4862368,2017-02-16,SP,informatica_acessorios,computers_accessories,1,22.0,10.96,32.96,13
d24e85d6,2017-02-16,SP,cama_mesa_banho,bed_bath_table,2,49.98,23.48,73.46,12
54b20598,2017-02-16,SP,informatica_acessorios,computers_accessories,1,209.9,18.21,228.11,4
5dc4353e,2017-02-17,MG,cama_mesa_banho,bed_bath_table,1,154.9,22.69,177.59,11
7013bcfc,2017-02-18,SP,non_renseignee,not_specified,1,49.99,15.53,65.52,10
a011a4e5,2017-02-19,SP,cama_mesa_banho,bed_bath_table,1,78.99,14.32,93.31,3
a5b43109,2017-02-20,RJ,perfumaria,perfumery,1,219.9,12.15,232.05,3
721c8ce6,2017-02-20,RS,consoles_games,consoles_games,1,343.4,16.57,359.97,10
f5c752a7,2017-02-21,SP,brinquedos,toys,1,64.9,9.51,74.41,17
df85c824,2017-02-21,DF,pcs,computers,1,3549.0,53.47,3602.47,7
8526252e,2017-02-21,RJ,telefonia,telephony,1,69.0,14.89,83.89,16
ae27a50c,2017-02-21,SC,brinquedos,toys,1,49.9,15.7,65.6,9
fefecf93,2017-02-22,RJ,esporte_lazer,sports_leisure,1,148.9,27.47,176.37,8
c9f82228,2017-02-24,SP,utilidades_domesticas,housewares,1,6.0,10.96,16.96,11
5f76e267,2017-02-24,SC,ferramentas_jardim,garden_tools,1,39.9,14.52,54.42,16
9fff2635,2017-02-25,PA,moveis_decoracao,furniture_decor,1,99.0,26.95,125.95,17
6e916417,2017-02-28,SP,moveis_decoracao,furniture_decor,2,65.8,62.88,128.68,9
740878f3,2017-02-28,MG,moveis_decoracao,furniture_decor,3,74.25,46.68,120.93,14
05709f85,2017-03-01,GO,cama_mesa_banho,bed_bath_table,1,159.9,27.55,187.45,15
ed4d57b2,2017-03-01,SP,cool_stuff,cool_stuff,1,129.99,11.52,141.51,8
e2dc8a03,2017-03-02,SP,cama_mesa_banho,bed_bath_table,1,69.9,11.88,81.78,4
ed03eb86,2017-03-02,RJ,beleza_saude,health_beauty,1,15.75,14.52,30.27,6
ce322da0,2017-03-02,SC,eletroportateis,small_appliances,1,129.0,49.42,178.42,13
389b5ea8,2017-03-02,MG,moveis_decoracao,furniture_decor,1,59.9,15.63,75.53,19
a8403ba7,2017-03-03,MG,brinquedos,toys,1,109.9,15.98,125.88,5
6bce4e87,2017-03-03,SP,moveis_decoracao,furniture_decor,1,47.0,11.74,58.74,11
068b0c2c,2017-03-03,RJ,utilidades_domesticas,housewares,1,159.99,67.82,227.81,16
674e1f5c,2017-03-04,SP,utilidades_domesticas,housewares,1,54.99,10.99,65.98,27
137e9582,2017-03-04,RS,esporte_lazer,sports_leisure,1,29.99,16.05,46.04,12
c224a880,2017-03-05,RJ,cama_mesa_banho,bed_bath_table,1,89.99,20.71,110.7,12
e1d102f1,2017-03-05,PR,livros_interesse_geral,books_general_interest,1,15.12,15.56,30.68,17
cfa77ac0,2017-03-06,RJ,relogios_presentes,watches_gifts,1,49.0,14.52,63.52,6
0dbd1183,2017-03-07,MG,cama_mesa_banho,bed_bath_table,1,69.9,15.7,85.6,13
59a547ac,2017-03-07,SP,market_place,market_place,1,249.9,16.86,266.76,6
3d09c01f,2017-03-08,MG,malas_acessorios,luggage_accessories,1,59.9,20.5,80.4,5
d496c768,2017-03-08,SP,beleza_saude,health_beauty,1,116.0,11.42,127.42,12
19e985f2,2017-03-08,BA,perfumaria,perfumery,1,284.99,22.44,307.43,28
12246bc7,2017-03-08,RS,utilidades_domesticas,housewares,1,49.99,18.63,68.62,7
abc2ac9a,2017-03-09,PI,audio,audio,1,190.0,27.59,217.59,20
7553daeb,2017-03-09,MA,perfumaria,perfumery,1,56.99,24.89,81.88,26
2105771f,2017-03-10,BA,beleza_saude,health_beauty,2,190.0,42.24,232.24,20
c6eff530,2017-03-10,SP,consoles_games,consoles_games,1,59.0,14.58,73.58,6
c07db2ec,2017-03-10,MG,papelaria,stationery,1,17.9,20.43,38.33,11
57683137,2017-03-10,RS,moveis_decoracao,furniture_decor,1,176.99,96.63,273.62,16
a8542953,2017-03-10,AM,brinquedos,toys,2,171.79,51.07,222.86,25
4324f321,2017-03-11,RJ,cama_mesa_banho,bed_bath_table,1,98.99,20.77,119.76,9
a427db09,2017-03-11,MG,telefonia,telephony,1,124.0,15.04,139.04,12
370e2e6c,2017-03-11,SP,ferramentas_jardim,garden_tools,1,79.9,15.77,95.67,18
966dc9ff,2017-03-13,SP,brinquedos,toys,1,104.99,20.81,125.8,7
908e9be1,2017-03-13,SP,ferramentas_jardim,garden_tools,2,138.0,28.5,166.5,8
dc2c8a5d,2017-03-14,SP,papelaria,stationery,1,598.0,12.56,610.56,2
fe586a85,2017-03-15,RS,ferramentas_jardim,garden_tools,1,34.9,16.05,50.95,16
08a8e107,2017-03-15,SP,cool_stuff,cool_stuff,1,152.0,12.45,164.45,7
6d7a8679,2017-03-15,SP,automotivo,auto,1,238.9,20.97,259.87,5
35b63215,2017-03-15,PR,ferramentas_jardim,garden_tools,1,34.9,14.52,49.42,6
02b63408,2017-03-16,SP,esporte_lazer,sports_leisure,1,189.9,49.85,239.75,11
0307d42d,2017-03-16,RJ,cool_stuff,cool_stuff,2,130.0,22.47,152.47,5
17a7c618,2017-03-16,PB,ferramentas_jardim,garden_tools,1,34.9,24.84,59.74,21
fe10aeba,2017-03-17,SP,cool_stuff,cool_stuff,1,449.0,21.73,470.73,13
42aaabf3,2017-03-17,RJ,ferramentas_jardim,garden_tools,2,279.8,30.3,310.1,13
40fea2b6,2017-03-17,PR,esporte_lazer,sports_leisure,1,31.0,14.52,45.52,16
68db1e9c,2017-03-18,SP,cool_stuff,cool_stuff,1,139.9,16.19,156.09,5
e21965e5,2017-03-18,RJ,cama_mesa_banho,bed_bath_table,1,25.9,14.52,40.42,23
9bb921bc,2017-03-20,RJ,perfumaria,perfumery,1,229.9,12.22,242.12,2
0d74a495,2017-03-21,MG,alimentos,food,1,23.99,14.52,38.51,8
eaae5e87,2017-03-22,SP,esporte_lazer,sports_leisure,1,69.9,14.66,84.56,28
cc33143e,2017-03-22,SP,informatica_acessorios,computers_accessories,1,39.9,17.19,57.09,11
721384cf,2017-03-23,RJ,relogios_presentes,watches_gifts,1,169.9,15.36,185.26,5
698856eb,2017-03-23,SP,utilidades_domesticas,housewares,1,65.0,18.73,83.73,7
f67dfbae,2017-03-23,RJ,informatica_acessorios,computers_accessories,1,2120.39,48.21,2168.6,11
6ac7c4ff,2017-03-23,SP,brinquedos,toys,1,141.9,11.6,153.5,3
a0f9594b,2017-03-23,ES,informatica_acessorios,computers_accessories,1,42.9,16.05,58.95,7
